"eword","hword","egrammar"
"a bit","थोड़ी देर","Adverb"
"a bit","थोड़ी 
देर","Adverb"
"a bit 
much","ज़्यादती","Noun"
"a bit 
thick","अनुचित","Noun"
"a bit much","बहुत ज़्यादा","Noun"
"a bit much","ज़्यादती","Noun"
"a bit of 
crumpet","सुन्दर लड़की","Noun"
"a bit of 
skirt","आकर्षक महिला","Noun"
"a bit of 
stuff","सुंदर महिला","Noun"
"a bit of a","कुछ कुछ","Noun"
"a bit of all right","बहुत आकर्षक","Noun"
"a bit of crumpet","सुन्दर लड़की","Noun"
"a bit of crumpet","सुंदर औरत","Noun"
"a bit of crumpet","सुन्दर महिला","Noun"
"a bit of fluff","महिला मित्र","Noun"
"a bit of skirt","आकर्षक महिला","Noun"
"a bit of skirt","बहुत ही आकर्षक लड़की","Noun"
"a bit of skirt","सुन्दर महिला","Noun"
"a bit of stuff","सुंदर 
लड़की","Noun"
"a bit of stuff","सुंदर औरत","Noun"
"a bit of stuff","सुंदर महिला","Noun"
"a bit of stuff","सुंदर लड़की","Noun"
"a bit thick","अनुचित","Noun"
"a bitter pill for to swallow","कड़वा सच","Noun"
"a blessing in disguise","दुःख के भेस में सुख","Noun"
"a blot on the landscape","मखमेल में टाट का पैबन्द","Noun"
"a blot on the landscape","मखमेल में 
टाट का पैबन्द","Noun"
"a blow by blow 
account","शब्दशः विवरण","Noun"
"a blow by blow 
description","शब्दशः वर्णन","Noun"
"a blow by blow account","शब्दशः विवरण","Noun"
"a blow by blow description","शब्दशः वर्णन","Noun"
"a bolt from the blue","वज्रपात","Noun"
"a bright 
spark","महानुभाव","Noun"
"a bright spark","महानुभाव","Noun"
"a buddhist monk","परिव्राजक","Noun"
"a bull in a china 
shop","शीशमहल 
में बंदर","Noun"
"a bull in a china shop","शीशमहल में बंदर","Noun"
"a bundle of nerves","बहुत ही घबराया हुआ","Noun"
"a card up sleeve","सुरक्षित योजना","Verb"
"a cart of bamboos of western countries driven by horse (similar to tonga of india)","बम्बूकाट","Noun"
"a case of sth/doing sth","किसी  इसतीथी  में अपेछेत वस्तु,  अपेछे ,आबसयकता","Noun"
"a case of sth/doing sth","किसी स्थिती में अपेछेईत  वस्तु ,आवशयकता","Noun"
"a change for the 
better","पहले से बेहतर","Noun"
"a change for the better","पहले से बेहतर","Noun"
"a change for the worse","पहले से बदतर","Noun"
"a change of 
air","आबोहवा का बदलाव","Noun"
"a change of 
heart","आमूल चूल बदलाव","Noun"
"a change of air","आबोहवा का बदलाव","Noun"
"a change of climate","आबोहवा का बदलाव","Noun"
"a change of heart","आमूल चूल बदलाव","Noun"
"a chapter of accidents","दुर्भाग्यपूर्ण घटनाचक्र","Noun"
"a chicken and egg 
problem","पहले मुर्गी या अंडा वाली समस्या","Noun"
"a chicken and egg 
situation","पहले मुर्गी या अंडा वाली स्थिति","Noun"
"a chicken and egg problem","पहले मुर्गी या अंडा वाली समस्या","Noun"
"a chicken and egg situation","पहले मुर्गी या अंडा वाली स्थिति","Noun"
"a chicken and egg situation","दुविधापूर्ण स्थिति","Noun"
"a chicken and egg situation","दुविधापूर्ण 
स्थिति","Noun"
"a chink in 
armour","कमज़ोरी","Noun"
"a chink in armour","कमज़ोरी","Noun"
"a chinless wonder","कमज़ोर प्रकृति का आदमी","Noun"
"a chip 
off the old 
block","जैसा बाप वैसा बेटा","Noun"
"a chip off the old block","जैसा बाप वैसा बेटा","Noun"
"a churning staff","मथनियाँ","Noun"
"a clean 
sheet","निष्कलंक","Noun"
"a clean sheet","निष्कलंक","Noun"
"a clean slate","निष्कलंक","Noun"
"a close 
thing","नाज़ुक स्थिति","Noun"
"a close thing","नाज़ुक स्थिति","Noun"
"a close thing","कड़ा मुकाबला","Noun"
"a clump of lotuses","मृणालिनी","Noun"
"a cog in the 
machine","मामूली 
व्यक्ति","Noun"
"a cog in the machine","मामूली व्यक्ति","Noun"
"a cog in the wheel","मामूली व्यक्ति","Noun"
"a commonly used name, means lord shiva","सचिन","Noun"
"a couple of","थोड़्","Adjective"
"a cow keeper","ग्वाला","Noun"
"a crashing bore","बहुत ही 
उबाऊ व्यक्ति","Noun"
"a crashing bore","बहुत ही उबाऊ व्यक्ति","Noun"
"a creeper whose pulpy roots have medicinal value.","ऋद्धि","Noun"
"a cushy number","आरामदेह स्थिति में","Noun"
"a cut above","से कहीं बेहतर","Noun"
"a damn sight better than","से लाख गूना","Verb"
"a damp squib","ऊँची दुकान 
फ़ीका पकवान","Noun"
"a damp squib","ऊँची दुकान फ़ीका पकवान","Noun"
"a darn sight better than","से लाख गूना","Verb"
"a day of reckoning","क़यामत का दिन","Noun"
"a day or 
two","कुछ दिन","Noun"
"a day or two","कुछ दिन","Noun"
"a deadly poison","हलाहल","Noun"
"a dermatologist","चरम रोग विशेषग","Noun"
"a deuce of a","बहुत ही बुरा","Noun"
"a devil of 
a job","बहुत ही मुश्किल काम","Noun"
"a devil of a job","बहुत ही मुश्किल काम","Noun"
"a devil of a time","बहुत ही मुश्किल समय","Noun"
"a different kettle of fish","एकदम अलग बात","Noun"
"a different kettle of fish","एकदम अलग व्यक्ति","Noun"
"a different kettle of fish","एकदम 
अलग बात","Noun"
"a dime a dozen","थोक के भाव में","Noun"
"a dogs 
life","कष्टकर जीवन","Noun"
"a dogs life","कष्टकर जीवन","Noun"
"a dose of own 
medicine","जैसे 
को तैसा","Noun"
"a dose of own medicine","जैसे को तैसा","Noun"
"a drop in the 
ocean","ऊँट के मुँह में जीरा","Noun"
"a drop in the bucket","ऊँट के मुँह में जीरा","Noun"
"a drop in the bucket","ऊँट 
के मुँह में जीरा","Noun"
"a drop in the ocean","ऊँट के मुँह में जीरा","Noun"
"a fact of life","जीवन 
का तथ्य","Noun"
"a fact of life","जीवन का तथ्य","Noun"
"a fair crack of the whip","सही मौक़ा","Noun"
"a famous fairy (hindu mythology)","रंभा","noun"
"a fashionable boy or man","छैला","Noun"
"a fat lot","बहुत","Noun"
"a feather in cap","उपलब्द्धि","Noun"
"a female who smiles beautifully","सुहासिनी","Noun"
"a few","थोड़्","Adjective"
"a few","कुछ","Determiner"
"a fight to the finish","आक़ीरी दम तक की लड़ाई","Noun"
"a fight to the finish","निर्णायक लड़ाई","Idioms"
"a fighting chance","कार्य की सफलता की थोड़ी आशा","Idioms"
"a fighting chance","आशा की एक छोटी सी किरण","Noun"
"a figment of imagination","मनगढन्त बात","Noun"
"a firm hand","सख्त नियंत्रण","Noun"
"a fish out of water","छटपटाता हुआ व्यक्ति","Noun"
"a flash in the 
pan","क्षणिक सफलता","Noun"
"a flash in the pan","क्षणिक सफलता","Noun"
"a fly on the wall","बिना महत्व का व्यक्ति","Idioms"
"a form of god shiva","रूद्र","Noun"
"a form of poem","शायरी","Noun"
"a fortiori","निश्चयपूर्वक","Adverb"
"a friend in need","सच्चा मित्र वही जो समय पर काम आए","Noun"
"a friend in need","सच्चा 
मित्र वही जो समय पर काम आए","Noun"
"a friend in need is a friend 
indeed","सच्चा मित्र वही जो समय पर काम 
आए","Noun"
"a friend in need is a friend indeed","सच्चा मित्र वही जो समय पर काम आए","Noun"
"a game that two can play","जैसे को तैसा","Noun"
"a globular water bottle used in asia","गगरी","Noun"
"a going 
concern","फलता फूलता कारोबार","Noun"
"a going concern","फलता फूलता कारोबार","Noun"
"a good 
deal of","बहुत","Noun"
"a good 
many","बहुत अधिक","Noun"
"a good 
samaratian","दयावान","Noun"
"a good deal","बहुत","Adverb"
"a good deal of","बहुत","Noun"
"a good few","कई","Noun"
"a good few","पर्याप्त संख्या में","Noun"
"a good job","सौभाग्य","Noun"
"a good many","बहुत अधिक","Noun"
"a good sailor","उल्टी न करने वाला समुद्री यात्री","Noun"
"a good samaratian","दयावान","Noun"
"a grand old man","आदरणीय व्यक्ति","Noun"
"a great 
deal of","अत्यधिक","Noun"
"a great deal","बहुत","Adverb"
"a great deal","बार बार","Adverb"
"a great deal of","अत्यधिक","Noun"
"a great many","बहुत अधिक","Noun"
"a great variety 
of","विविधतापूर्ण","Noun"
"a great variety of","विविधतापूर्ण","Noun"
"a guardian angel, a protector, a guard from snake bite","ताशी","Noun"
"a hair of the dog 
that bit you","नशा उतारने के लिए शराब","Noun"
"a hair of the dog that bit you","नशा उतारने के लिए शराब","Noun"
"a hard nut to 
crack","उलझनकारी समस्या","Noun"
"a hard nut to 
crack","उलझनकारी व्यक्ति","Noun"
"a hard nut to 
crack","टेढी स्थिति","Noun"
"a hard nut to crack","उलझनकारी समस्या","Noun"
"a hard nut to crack","उलझनकारी व्यक्ति","Noun"
"a hard nut to crack","उलझनकारी परिस्थिति","Noun"
"a hard nut to crack","टेढी स्थिति","Noun"
"a hard nut to crack","टेढी समस्या","Noun"
"a head","प्रति व्यक्ति","Noun"
"a heart of gold","दयालु स्वभाव","Noun"
"a heart of stone","पत्थर 
दिल","Noun"
"a heart of stone","पत्थर दिल","Noun"
"a heavy sword with wide knife","खड़ग","Noun"
"a hell of a","बहुत","Noun"
"a helluva","बहुत","Noun"
"a hill of beans","बहुत कम","Noun"
"a is one thing, b is an other","एक बात है और दूसरी बात","Noun"
"a is one thing, b is an other","एक 
बात है और दूसरी बात","Noun"
"a jack of all 
trades","हरफनमौला","Noun"
"a jack of all trades","हरफनमौला","Noun"
"a jolly sight too good","से लाख गूना","Verb"
"a kick in the teeth","मुँह पर 
तमाचा","Noun"
"a kick in the teeth","जबरदस्त झटका","Noun"
"a kick in the teeth","मुँह पर तमाचा","Noun"
"a kind of","हल्का","Noun"
"a kind of","शायद","Noun"
"a kind of crisp sweetmeat","रेवड़ी","Noun"
"a kind of devotion","नवधा","Noun"
"a kings 
ransom","अत्यधिक पैसा","Noun"
"a kings ransom","अत्यधिक पैसा","Noun"
"a knight in shining 
armour","शूरवीर","Noun"
"a knight in shining armour","शूरवीर","Noun"
"a la","की शैली में","Preposition"
"a la 
mode","प्रचलित","Noun"
"a la carte","अलग अलग","Noun"
"a la carte","व्यंजन सूची से","Adjective"
"a la mode","प्रचलित","Adverb"
"a la mode","फैशन प्रिय","Adjective"
"a la mode","आइस क्रीम के साथ","Adverb"
"a labour of love","निष्काम कार्य","Noun"
"a labour of love","निष्काम 
कार्य","Noun"
"a large black bee","भ्रमर","Noun"
"a last resort","अंतिम आश्रय","Noun"
"a last resort","अंतिम 
आश्रय","Noun"
"a late 
night","देर रात","Noun"
"a late night","देर रात","Noun"
"a leader , a pioneer, whom other follows","प्रणिता","Noun"
"a leap in the dark","अँधेरे में छलांग","Noun"
"a leap in the dark","अँधेरे में 
छलांग","Noun"
"a level","उच्च स्तरीय परीक्षा","Noun"
"a level","उच्च स्तरीय","Noun"
"a likely 
story","प्रायः","Noun"
"a likely story","प्रायः","Noun"
"a litle of own 
medicine","जैसे को तैसा","Noun"
"a litle of own medicine","जैसे को तैसा","Noun"
"a live 
wire","जिन्दादिल व्यक्ति","Noun"
"a live wire","जिन्दादिल व्यक्ति","Noun"
"a lone wolf","एकाकी व्यक्ति","Noun"
"a lone wolf","एकाकी 
व्यक्ति","Noun"
"a long face","उदास चेहरा","Noun"
"a long shot","सुलझने का प्रयास","Noun"
"a losing battle","असंभव काम","Noun"
"a lot","बहुत सारा","Adverb"
"a lot","कहीं","Adverb"
"a lot 
of","बहुत सारा","Noun"
"a lot going for","बहुत ही 
फायदेमन्द","Noun"
"a lot going for","बहुत ही फायदेमन्द","Noun"
"a lot of","बहुत सारा","Noun"
"a lot of water has flowed under the bridge","तब से बहुत कुछ हो चुका है","Noun"
"a low 
profile","दुबकी स्थिति","Noun"
"a low profile","दुबकी स्थिति","Noun"
"a lump in ones throat","कण्ठरोध","Noun"
"a lump in the throat","कण्ठरोध","Noun"
"a man about town","शौकीन आदमी","Noun"
"a man of 
parts","गुणी व्यक्ति","Noun"
"a man of god","पुरोहित","Noun"
"a man of his word","बात का धनी","Noun"
"a man of many parts","गुणी व्यक्ति","Noun"
"a man of parts","गुणी व्यक्ति","Noun"
"a man of the world","अनुभवी व्यक्ति","Noun"
"a mares 
nest","लालबुझक्कड़ी खोज","Noun"
"a mares nest","लालबुझक्कड़ी खोज","Noun"
"a marked man","संदेहास्पद व्यक्ति","Noun"
"a matter 
of life and death","महत्वपूर्ण प्रकरण","Noun"
"a matter of","कम से कम","Noun"
"a matter of","कुछ ही","Noun"
"a matter of 
course","आए दिन की बात","Noun"
"a matter of course","आए दिन की बात","Noun"
"a matter of course","स्वाभाविक बात","Noun"
"a matter of life and death","महत्वपूर्ण प्रकरण","Noun"
"a matter of life and death","अत्यंत महत्वपूर्ण","Noun"
"a matter of openion","विचारणीय विषय","Noun"
"a matter of opinion","विवादास्पद","Noun"
"a matter of record","लिखित होने के कारण प्रमाणितआ","Noun"
"a matter of time","समय् की 
बात","Noun"
"a matter of time","समय् की बात","Noun"
"a means to an end","साधन माट्र","Noun"
"a meeting of minds","गहरी 
सूझ बूझ","Noun"
"a meeting of minds","गहरी सूझ बूझ","Noun"
"a middle course","समझौता","Noun"
"a middle course","मध्य मार्ग","Noun"
"a millstone 
round neck","गले का घेंघ","Noun"
"a millstone round neck","गले का घेंघ","Noun"
"a mine of information","जनकारी की खान","Noun"
"a minute or 
two","कुछ 
मिनट","Noun"
"a minute or two","कुछ मिनट","Noun"
"a moment or two","कुछ क्षण","Noun"
"a moment or two","कुछ 
क्षण","Noun"
"a moot 
question","विवाद का विषय","Noun"
"a moot point","विवाद का विषय","Noun"
"a moot question","विवाद का विषय","Noun"
"a much of water has flowed under the bridge","तब से बहुत कुछ हो चुका है","Noun"
"a much of water has flowed under the bridge","तब 
से बहुत कुछ हो चुका है","Noun"
"a mugs game","लाब विहीन कार्य","Noun"
"a mugs game","लाब विहीन 
कार्य","Noun"
"a nail in 
coffin","विनाश का निश्चित कारण","Noun"
"a nail in coffin","विनाश का निश्चित कारण","Noun"
"a name of lord shiva","अखिलेश्वर","Noun"
"a name of lord shiva","जतिन","Noun"
"a name of lord vishnu","रमेश","Noun"
"a nasty piece of work","अप्रिय व्यक्ति","Noun"
"a nasty piece of work","अप्रिय 
व्यक्ति","Noun"
"a near thing","नाज़ुक स्थिति","Noun"
"a near thing","कड़ा मुकाबला","Noun"
"a necessary 
evil","अनिवार्य विवशता","Noun"
"a necessary evil","अनिवार्य विवशता","Noun"
"a needle in a 
haystack","घास के ढेर में सुई","Noun"
"a needle in a haystack","घास के ढेर में सुई","Noun"
"a new lease of 
life","नया जीवन","Noun"
"a new lease of life","नया जीवन","Noun"
"a new lease on life","नया जीवन","Noun"
"a night out","सारी 
रात","Noun"
"a night out","सारी रात","Noun"
"a nine days wonder","चार दिन की चाँदनी","Noun"
"a nine days wonder","चार दिन की 
चाँदनी","Noun"
"a nod is as good as a wink","समझदार को इशारा काफ़ी","Noun"
"a nod is as good as a wink to a 
blind horse","समझदार को इशारा काफ़ी","Noun"
"a nod is as good as a wink to a blind 
man","समझदार को इशारा काफ़ी","Noun"
"a nod is as good as a wink to a blind horse","समझदार को इशारा काफ़ी","Noun"
"a nod is as good as a wink to a blind man","समझदार को इशारा काफ़ी","Noun"
"a nothing going for","थोड़ा भी फ़ायदेमन्द नहीं","Noun"
"a nothing going for","थोड़ा भी 
फ़ायदेमन्द नहीं","Noun"
"a ok","एकदम ठीक","Noun"
"a ok","एकदम 
ठीक","Adjective"
"a one","सर्वश्रेष्ठ","Noun"
"a one","यही एक","Noun"
"a open place in front of mosque","ईदगाह","Noun"
"a pain in the 
neck","मुसीबत","Noun"
"a pain in the arse","गले की फांसी","Noun"
"a pain in the arse","गले की 
फांसी","Noun"
"a pain in the neck","मुसीबत","Noun"
"a parting of the ways","अलगाव का मुद्दा","Noun"
"a pat on the 
back","शाबासी","Noun"
"a pat on the back","शाबासी","Noun"
"a pecking order","सामाजिक प्रतिष्ठाक्रम","Noun"
"a peg to hang","विवाद विषय","Noun"
"a penny for your 
thoughts","क्या सोच होना","Verb"
"a penny for your thoughts","क्या सोच होना","Verb"
"a period of nine days","नवरात्र","noun"
"a pertty 
penny","लम्बी चौड़ी 
रकम","Noun"
"a pertty penny","लम्बी चौड़ी रकम","Noun"
"a philanderer, a playboy","दिलफेंक आशिक","Adjective"
"a piece of cake","बहुत 
आसान","Noun"
"a piece of cake","बहुत आसान","Noun"
"a piece of the action","लाभांश","Noun"
"a place in 
the sun","समान अधिकार","Noun"
"a place in the sun","समान अधिकार","Noun"
"a play on words","शब्द क्रीडा","Noun"
"a plenty going for","बहुत ही फ़ायदेमन्द","Noun"
"a poetry written in prose form; a prosaic","अपद्यागद्य","Adjective"
"a point 
of departure","आरंभिक मुद्दा","Noun"
"a point of departure","आरंभिक मुद्दा","Noun"
"a point of departure","प्रस्थान स्थल","Noun"
"a point of departure","प्रस्थान समय","Noun"
"a point of honour","प्रतिष्ठा का सवाल","Noun"
"a poisoned 
chalice","मिठा ज़हर","Noun"
"a poisoned chalice","मिठा ज़हर","Noun"
"a posteriori","अनुभवसापेक्ष","Adjective"
"a pot of gold","पैसे 
की खान","Noun"
"a pot of gold","पैसे की खान","Noun"
"a pound or two","कुछ पैसे","Noun"
"a precious gem originating from samudra manthan (mythical churning of the milk sea) later borne by lord visnu","कौस्तुभ","Noun"
"a pregnant 
silence","अर्थपूर्ण खामोशी","Noun"
"a pregnant pause","अर्थपूर्ण 
विराम","Noun"
"a pregnant pause","अर्थपूर्ण विराम","Noun"
"a pregnant silence","अर्थपूर्ण खामोशी","Noun"
"a price on head","मारने 
के लिए पुरस्कार","Noun"
"a price on head","मारने के लिए पुरस्कार","Noun"
"a price on head","पकड़ने के लिए पुरस्कार","Noun"
"a priori","सितारा मछली","Adjective"
"a priori","प्रागनुभव","Adjective"
"a priori","निगमनात्मक","Adjective"
"a raw 
deal","अनुचित व्यवहार","Noun"
"a raw deal","अनुचित व्यवहार","Noun"
"a ray of sun","सूर्यांशु","Noun"
"a ray of sunshine","खुशी की किरण","Noun"
"a religious preach","सत्संग","Noun"
"a road","मुख्य मार्ग","Noun"
"a road","मुख्य 
मार्ग","Noun"
"a roaring success","एक बहुत बड़ी सफ़लता","Noun"
"a rod to beat 
with","सितारा मछली","Noun"
"a rod to beat with","सितारा मछली","Noun"
"a rough deal","अनुपयुक्त व्यवहार","Noun"
"a rough deal","अनुपयुक्त 
व्यवहार","Noun"
"a row of light , a spark,","दीपिका","Noun"
"a rule of thumb","अनुभवसिद्ध 
ढंग","Noun"
"a rule of thumb","अनुभवसिद्ध ढंग","Noun"
"a safe bet","निश्चित बात","Noun"
"a safe bet","उपयुक्त वस्तु","Noun"
"a school of thought","विचार सम्प्रदाय","Noun"
"a second bite of the cherry","दूसरा 
मौका","Noun"
"a second bite of the cherry","दूसरा मौका","Noun"
"a second childhood","दूसरे बचपन","Noun"
"a second childhood","दूसरे 
बचपन","Noun"
"a second or two","कुछ सेकण्ड","Noun"
"a sense of occasion","विशेष अवसर का ध्यान","Noun"
"a shadow of former 
self","परछाई","Noun"
"a shadow of former self","परछाई","Noun"
"a share of the cake","लाभांश","Noun"
"a shot across bows","चेतावनी","Noun"
"a shot across the 
bows","चेतावनी","Noun"
"a shot across the bows","चेतावनी","Noun"
"a shot in the arm","ख़ुराक","Noun"
"a shot in the dark","अँधेरे में तीर","Noun"
"a shoulder to cry on","सहानुभूति दिखाने वाला","Noun"
"a shoulder to cry on","सहानुभूति 
दिखाने वाला","Noun"
"a show of hands","सहमति","Noun"
"a shrinking violet","बहुत शर्मीला व्यक्ति","Noun"
"a shrinking violet","बहुत 
शर्मीला व्यक्ति","Noun"
"a sight for sore eyes","आँख की ठण्डक","Noun"
"a sign of 
the times","आज की सच्चाई","Noun"
"a sign of the times","आज की सच्चाई","Noun"
"a silver 
tongue","जबान का जादू","Noun"
"a silver tongue","जबान का जादू","Noun"
"a skeleton in the 
cupboard","पारिवारिक गुप्तभेद","Noun"
